pathway	collection	comparison	method	source	rank_metric	ES	NES	pvalue	padj	FWER	size	output_label	report_side	source_file	rank_at_max	leading_edge	core_enrichment	direction	significant_fdr_0_25	significant_fdr_0_05
GOBP_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.29212594	-0.9615672	0.5339367	0.6757938	1	33	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	2574	tags=21%, list=14%, signal=25%		negative	FALSE	FALSE
GOBP_MORPHOGENESIS_OF_AN_ENDOTHELIUM	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.33931738	-0.9614146	0.5016892	0.67583716	1	17	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	2669	tags=29%, list=15%, signal=34%		negative	FALSE	FALSE
GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.25068325	0.98141277	0.4650456	0.6789231	1	42	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	4356	tags=43%, list=24%, signal=56%		positive	FALSE	FALSE
GOBP_CILIUM_ORGANIZATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.20711578	-0.95961404	0.5984252	0.6793628	1	348	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	4351	tags=23%, list=24%, signal=30%		negative	FALSE	FALSE
GOBP_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.23458977	0.9809541	0.48630136	0.67939395	1	61	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	2971	tags=23%, list=16%, signal=27%		positive	FALSE	FALSE
GOBP_L_AMINO_ACID_METABOLIC_PROCESS	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.22318384	-0.95966816	0.530303	0.6795459	1	156	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	5490	tags=38%, list=30%, signal=54%		negative	FALSE	FALSE
GOBP_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.23976046	0.9802813	0.5066225	0.6795856	1	49	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	1595	tags=16%, list=9%, signal=18%		positive	FALSE	FALSE
GOBP_POSITIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.2345881	0.97983205	0.4695946	0.6800362	1	57	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	3951	tags=30%, list=22%, signal=38%		positive	FALSE	FALSE
GOBP_PIGMENT_GRANULE_LOCALIZATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.29377392	0.98028904	0.46827793	0.6803962	1	23	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	5117	tags=43%, list=28%, signal=60%		positive	FALSE	FALSE
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.22219342	-0.95893794	0.5601966	0.6806503	1	164	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	2012	tags=15%, list=11%, signal=16%		negative	FALSE	FALSE
GOBP_DENDRITIC_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.3538346	-0.9587433	0.51622874	0.68078446	1	15	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	1850	tags=20%, list=10%, signal=22%		negative	FALSE	FALSE
GOBP_CILIUM_MOVEMENT	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	0.19129606	0.9790256	0.53768843	0.68151534	1	172	GSEA_Tumor_vs_Normal_GO_BP	pos	gsea_report_for_na_pos_1779214203280.tsv	4924	tags=33%, list=27%, signal=45%		positive	FALSE	FALSE
GOBP_CYTOSOLIC_TRANSPORT	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.22996737	-0.9581075	0.5679487	0.68191034	1	125	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	5665	tags=40%, list=31%, signal=58%		negative	FALSE	FALSE
GOBP_REGULATION_OF_ATP_DEPENDENT_ACTIVITY	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.29650283	-0.95740396	0.5269461	0.6832768	1	29	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	4715	tags=41%, list=26%, signal=56%		negative	FALSE	FALSE
GOBP_CELLULAR_RESPONSE_TO_ZINC_ION	GO_BP	Tumor_vs_Normal	GSEAPreranked	DanielGarbozo/GSEA-Pipeline/preranked	limma_t_stat_or_user_supplied_rnk	-0.32537085	-0.9569271	0.5279107	0.6840508	1	20	GSEA_Tumor_vs_Normal_GO_BP	neg	gsea_report_for_na_neg_1779214203280.tsv	4181	tags=40%, list=23%, signal=52%		negative	FALSE	FALSE
