sample	correlation	sample_ordered	median_r	n_shared_samples	n_shared_features	n_features_used
TCGA-BH-A1ES-01	0.266566728090579	TCGA-BH-A1ES-01	0.233779438951853	637	149	146
TCGA-E2-A1IG-01	0.264418318883582	TCGA-E2-A1IG-01	0.233779438951853	637	149	146
TCGA-D8-A1XD-01	0.264345977359246	TCGA-D8-A1XD-01	0.233779438951853	637	149	146
TCGA-C8-A132-01	0.264155511096325	TCGA-C8-A132-01	0.233779438951853	637	149	146
TCGA-AR-A24S-01	0.263869463869464	TCGA-AR-A24S-01	0.233779438951853	637	149	146
TCGA-D8-A1XG-01	0.262967733638771	TCGA-D8-A1XG-01	0.233779438951853	637	149	146
TCGA-E2-A14S-01	0.262690914816564	TCGA-E2-A14S-01	0.233779438951853	637	149	146
TCGA-D8-A1JU-01	0.261948922814054	TCGA-D8-A1JU-01	0.233779438951853	637	149	146
TCGA-A2-A0D0-01	0.261883955282633	TCGA-A2-A0D0-01	0.233779438951853	637	149	146
TCGA-D8-A1JF-01	0.261743428984808	TCGA-D8-A1JF-01	0.233779438951853	637	149	146
TCGA-AO-A12C-01	0.261647772004409	TCGA-AO-A12C-01	0.233779438951853	637	149	146
TCGA-A2-A0SU-01	0.260864430798299	TCGA-A2-A0SU-01	0.233779438951853	637	149	146
TCGA-E2-A15K-01	0.26048876209346	TCGA-E2-A15K-01	0.233779438951853	637	149	146
TCGA-E2-A1AZ-01	0.260360829358524	TCGA-E2-A1AZ-01	0.233779438951853	637	149	146
TCGA-AN-A0XP-01	0.260234608723036	TCGA-AN-A0XP-01	0.233779438951853	637	149	146
TCGA-E2-A15L-01	0.259967446007916	TCGA-E2-A15L-01	0.233779438951853	637	149	146
