gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	gene_id	pvalue	padj	stat	layer	significant	direction	comparison	reference	contrast	method
WDR75	-0.315704290800268	9.91854858974359	-7.7085949175342	3.86144361321351e-14	1.36833681125777e-13	20.9695210905144	WDR75	WDR75	3.86144361321351e-14	1.36833681125777e-13	-7.7085949175342	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
GGNBP2	0.258494745256968	10.4519869230769	7.70695855536513	3.90772178615813e-14	1.38446527772642e-13	20.9578122206035	GGNBP2	GGNBP2	3.90772178615813e-14	1.38446527772642e-13	7.70695855536513	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
SPATA13	0.633978339638782	8.70463871794872	7.70692975546481	3.90924965289105e-14	1.3847359702474e-13	20.9574369461617	SPATA13	SPATA13	3.90924965289105e-14	1.3847359702474e-13	7.70692975546481	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
SH3PXD2B	-0.496270726628799	10.7618108974359	-7.70581873447255	3.94099352292045e-14	1.39570759087761e-13	20.9494884532212	SH3PXD2B	SH3PXD2B	3.94099352292045e-14	1.39570759087761e-13	-7.70581873447255	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
NFKBIB	-0.429297762574487	8.25839487179487	-7.70537681132413	3.95297452935318e-14	1.39967725083289e-13	20.9464961952695	NFKBIB	NFKBIB	3.95297452935318e-14	1.39967725083289e-13	-7.70537681132413	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
TSC2	0.308817371420078	10.6459846153846	7.70518219437676	3.95857795146797e-14	1.401387613399e-13	20.9451040152991	TSC2	TSC2	3.95857795146797e-14	1.401387613399e-13	7.70518219437676	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
ZNF232	-0.420062095762178	7.41961051282051	-7.70511351271245	3.96055730541793e-14	1.4018145917595e-13	20.9446127125839	ZNF232	ZNF232	3.96055730541793e-14	1.4018145917595e-13	-7.70511351271245	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
TGS1	-0.370301157289049	9.36971564102564	-7.70501622818825	3.9633626411796e-14	1.40253369748087e-13	20.9439168105641	TGS1	TGS1	3.9633626411796e-14	1.40253369748087e-13	-7.70501622818825	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
YKT6	-0.293896792124848	11.1382576923077	-7.70172786361555	4.05934741772551e-14	1.43621993239551e-13	20.9203987036799	YKT6	YKT6	4.05934741772551e-14	1.43621993239551e-13	-7.70172786361555	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
EPR1	-0.903319545636236	8.28803769230769	-7.70090717975896	4.08439551987872e-14	1.44480012448549e-13	20.9143618805912	EPR1	EPR1	4.08439551987872e-14	1.44480012448549e-13	-7.70090717975896	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
C11orf41	-0.895434445384323	7.77187974358974	-7.70075210684027	4.08900590098289e-14	1.44614880957703e-13	20.9132531396257	C11orf41	C11orf41	4.08900590098289e-14	1.44614880957703e-13	-7.70075210684027	RNAseq	FALSE	not_significant	ER_positive_vs_ER_negative	ER_negative	ER_positive - ER_negative	limma_trend_robust_on_xena_log2_expression
